nom_de_la_commune,code_postal,ligne_5
ST CHRISTOPHE A BERRY,2290,
THIBERVILLE,27230,
NOYERS,27720,
STE GENEVIEVE,2340,
LE THIL,27150,
ORMES,27190,
ST GOBAIN,2410,
TILLEUL DAME AGNES,27170,
LE VAL DORE,27190,LE MESNIL HARDRAY
ST PIERRE AIGLE,2600,
LE TILLEUL LAMBERT,27110,
PINTERVILLE,27400,
STE PREUVE,2350,
LA TRINITE DE THOUBERVILLE,27310,
PONT AUDEMER,27500,ST PAUL SUR RISLE
SERCHES,2220,
TRIQUEVILLE,27500,
PONT AUTHOU,27290,
SERINGES ET NESLES,2130,
LA VACHERIE,27400,
RICHEVILLE,27420,
SERVAL,2160,
VANDRIMARE,27380,
ROMILLY LA PUTHENAYE,27170,
SOUPIR,2160,
VANNECROCQ,27210,
ROSAY SUR LIEURE,27790,
TERGNIER,2700,VOUEL
VAUX SUR EURE,27120,
ST BENOIT DES OMBRES,27450,
TERNY SORNY,2880,
VERNEUIL D AVRE ET D ITON,27160,FRANCHEVILLE
ST CHRISTOPHE SUR AVRE,27820,
TROSLY LOIRE,2300,
VERNON,27200,
LE VAUDREUIL,27100,
UGNY LE GAY,2300,
VESLY,27870,
ST DENIS DES MONTS,27520,
VAILLY SUR AISNE,2370,
VEZILLON,27700,
ST DIDIER DES BOIS,27370,
VAUXREZIS,2200,
LA VIEILLE LYRE,27330,CHAMPIGNOLLES
ST ETIENNE SOUS BAILLEUL,27920,
PETIT VERLY,2630,
VILLIERS EN DESOEUVRE,27640,
STE GENEVIEVE LES GASNY,27620,
VERNEUIL SUR SERRE,2000,
ALLONNES,28150,
LE MESNIL ST JEAN,27560,ST JEAN DE LA LEQUERAYE
VEUILLY LA POTERIE,2810,
COMMUNE NOUVELLE D ARROU,28290,CHATILLON EN DUNOIS
ST GERMAIN DE PASQUIER,27370,
VEZAPONIN,2290,
AUNEAU BLEURY ST SYMPHORIEN,28700,ST SYMPHORIEN LE CHATEAU
LA CHAPELLE LONGUEVILLE,27950,ST PIERRE D AUTILS
VIEL ARCY,2160,
BAILLEAU ARMENONVILLE,28320,
ST LAURENT DES BOIS,27220,
VIELS MAISONS,2540,
LA BAZOCHE GOUET,28330,
ST MARTIN LA CAMPAGNE,27930,
VIERZY,2210,
BERCHERES ST GERMAIN,28300,ST GERMAIN LA GATINE
ST MARTIN ST FIRMIN,27450,
VIFFORT,2540,
BERCHERES LES PIERRES,28630,
STE MARIE D ATTEZ,27160,DAME MARIE
VILLENEUVE ST GERMAIN,2200,
BERCHERES SUR VESGRE,28260,
ST PAUL DE FOURQUES,27800,
VILLENEUVE SUR FERE,2130,
BILLANCELLES,28190,
ST PIERRE DE BAILLEUL,27920,
